ID_Location,Name,Year,Total route length (km),Total duration (hrs),Number of routes,Total Area (km2),,,,,,,,,,,,
8004,Bwabwata West,2019,550.2,123.5,34,630,,,,,,,,,,,,
8005,Mahango,2019,333.6,66.2,22,245,,,,,,,,,,,,
8006,Bwabwata East,2019,848.3,198.6,57,1345,,,,,,,,,,,,
8007,Mudumu,2019,309.1,62.3,23,716,,,,,,,,,,,,
8008,Nkasa Rupara,2019,113.1,11.6,4,338,,,,,,,,,,,,
2,Salambala,2020,200,37.2,16,930,,,,,,,,,,,,
5,Wuparo,2020,75,19.9,5,148,,,,,,,,,,,,
8,Kwandu,2020,95,17.6,11,190,,,,,,,,,,,,
9,Mayuni,2020,88,23.2,6,151,,,,,,,,,,,,
16,Mashi,2020,94,27.1,9,297,,,,,,,,,,,,
45,Balyerwa,2020,85,22.6,12,225,,,,,,,,,,,,
49,Sobbe,2020,100,9.5,10,391,,,,,,,,,,,,
56,Sikunga,2020,68,19.3,6,287,,,,,,,,,,,,
59,Dzoti,2020,118,29.4,12,287,,,,,,,,,,,,
64,Bamunu,2020,89,28.1,9,556,,,,,,,,,,,,
8004,Bwabwata West,2020,540,96.8,35,630,,,,,,,,,,,,
8005,Mahango,2020,325,32.6,22,245,,,,,,,,,,,,
8006,Bwabwata East,2020,849,156.2,59,1345,,,,,,,,,,,,
8007,Mudumu,2020,374,58,23,716,,,,,,,,,,,,
8008,Nkasa Rupara,2020,155,17.2,5,338,,,,,,,,,,,,
2,Salambala,2021,208,43.1,16,930,,,,,,,,,,,,
5,Wuparo,2021,67,10.1,5,148,,,,,,,,,,,,
8,Kwandu,2021,104,23.3,12,190,,,,,,,,,,,,
9,Mayuni,2021,79,22.8,6,151,,,,,,,,,,,,
16,Mashi,2021,95,27.7,9,297,,,,,,,,,,,,
45,Balyerwa,2021,97,21.8,12,225,,,,,,,,,,,,
49,Sobbe,2021,104,22.8,10,391,,,,,,,,,,,,
56,Sikunga,2021,56,12,4,287,,,,,,,,,,,,
59,Dzoti,2021,114,23.9,12,287,,,,,,,,,,,,
64,Bamunu,2021,113,26.2,9,556,,,,,,,,,,,,
8004,Bwabwata West,2021,596,122.4,34,630,,,,,,,,,,,,
8005,Mahango,2021,323,45.2,22,245,,,,,,,,,,,,
8006,Bwabwata East,2021,783,138.7,58,1345,,,,,,,,,,,,
8007,Mudumu,2021,384,63.1,25,716,,,,,,,,,,,,
8008,Nkasa Rupara,2021,157,13,5,338,,,,,,,,,,,,
2,Salambala,2022,207.6,57.7,16,930,,,,,,,,,,,,
