ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,,,,,
40,King Nehale,Duiker,2023,5,4,136,3.7,,,,,,,,,,
40,King Nehale,Duiker,2024,3,3,131,2.3,,,,,,,,,,
40,King Nehale,Eland,2010,,,128,,,,,,,,,,,
40,King Nehale,Eland,2011,,,128,,,,,,,,,,,
40,King Nehale,Eland,2012,,,167,,,,,,,,,,,
40,King Nehale,Eland,2013,,,141,,,,,,,,,,,
40,King Nehale,Eland,2014,,,144,,,,,,,,,,,
40,King Nehale,Eland,2015,,,144,,,,,,,,,,,
40,King Nehale,Eland,2016,,,147,,,,,,,,,,,
40,King Nehale,Eland,2017,,,123,,,,,,,,,,,
40,King Nehale,Eland,2018,,,123,,,,,,,,,,,
40,King Nehale,Eland,2019,,,123,,,,,,,,,,,
40,King Nehale,Eland,2020,,,123,,,,,,,,,,,
40,King Nehale,Eland,2021,,,137,,,,,,,,,,,
40,King Nehale,Eland,2022,,,136,,,,,,,,,,,
40,King Nehale,Eland,2023,,,136,,,,,,,,,,,
40,King Nehale,Eland,2024,,,131,,,,,,,,,,,
40,King Nehale,Elephant,2010,,,128,,,,,,,,,,,
40,King Nehale,Elephant,2011,,,128,,,,,,,,,,,
40,King Nehale,Elephant,2012,,,167,,,,,,,,,,,
40,King Nehale,Elephant,2013,,,141,,,,,,,,,,,
40,King Nehale,Elephant,2014,,,144,,,,,,,,,,,
40,King Nehale,Elephant,2015,5,1,144,3.5,,,,,,,,,,
40,King Nehale,Elephant,2016,,,147,,,,,,,,,,,
40,King Nehale,Elephant,2017,,,123,,,,,,,,,,,
40,King Nehale,Elephant,2018,,,123,,,,,,,,,,,
40,King Nehale,Elephant,2019,,,123,,,,,,,,,,,
40,King Nehale,Elephant,2020,,,123,,,,,,,,,,,
40,King Nehale,Elephant,2021,,,137,,,,,,,,,,,
40,King Nehale,Elephant,2022,,,136,,,,,,,,,,,
40,King Nehale,Elephant,2023,,,136,,,,,,,,,,,
40,King Nehale,Elephant,2024,,,131,,,,,,,,,,,
40,King Nehale,Gemsbok,2010,10,2,128,7.8,,,,,,,,,,
40,King Nehale,Gemsbok,2011,,,128,,,,,,,,,,,
40,King Nehale,Gemsbok,2012,,,167,,,,,,,,,,,
40,King Nehale,Gemsbok,2013,,,141,,,,,,,,,,,
40,King Nehale,Gemsbok,2014,,,144,,,,,,,,,,,
40,King Nehale,Gemsbok,2015,,,144,,,,,,,,,,,
40,King Nehale,Gemsbok,2016,,,147,,,,,,,,,,,
40,King Nehale,Gemsbok,2017,,,123,,,,,,,,,,,
40,King Nehale,Gemsbok,2018,,,123,,,,,,,,,,,
40,King Nehale,Gemsbok,2019,1,1,123,0.8,,,,,,,,,,
