Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,
Duiker,2023,56,46,974,5.7,,,,,,,,,,,,
Duiker,2024,29,20,1060,2.7,,,,,,,,,,,,
Eland,2003,20,2,,,,,,,,,,,,,,
Eland,2004,50,2,,,,,,,,,,,,,,
Eland,2005,31,1,,,,,,,,,,,,,,
Eland,2006,39,4,,,,,,,,,,,,,,
Eland,2007,29,6,,,,,,,,,,,,,,
Eland,2008,,,,,,,,,,,,,,,,
Eland,2009,64,6,204,31.3,,,,,,,,,,,,
Eland,2010,77,6,852,9,,,,,,,,,,,,
Eland,2011,84,8,1019,8.2,,,,,,,,,,,,
Eland,2012,100,11,1070,9.3,,,,,,,,,,,,
Eland,2013,154,14,900,17.1,,,,,,,,,,,,
Eland,2014,70,9,896,7.8,,,,,,,,,,,,
Eland,2015,115,16,896,12.8,,,,,,,,,,,,
Eland,2016,95,14,917,10.4,,,,,,,,,,,,
Eland,2017,138,11,858,16.1,,,,,,,,,,,,
Eland,2018,41,7,851,4.8,,,,,,,,,,,,
Eland,2019,42,9,864,4.9,,,,,,,,,,,,
Eland,2020,85,8,858,9.9,,,,,,,,,,,,
Eland,2021,87,10,928,9.4,,,,,,,,,,,,
Eland,2022,110,14,911,12.1,,,,,,,,,,,,
Eland,2023,135,16,974,13.9,,,,,,,,,,,,
Eland,2024,99,13,1060,9.3,,,,,,,,,,,,
Elephant,2003,,,,,,,,,,,,,,,,
Elephant,2004,,,,,,,,,,,,,,,,
Elephant,2005,,,,,,,,,,,,,,,,
Elephant,2006,,,,,,,,,,,,,,,,
Elephant,2007,,,,,,,,,,,,,,,,
Elephant,2008,,,,,,,,,,,,,,,,
Elephant,2009,,,204,,,,,,,,,,,,,
Elephant,2010,,,852,,,,,,,,,,,,,
Elephant,2011,,,1019,,,,,,,,,,,,,
Elephant,2012,,,1070,,,,,,,,,,,,,
Elephant,2013,,,900,,,,,,,,,,,,,
Elephant,2014,,,896,,,,,,,,,,,,,
Elephant,2015,5,1,896,0.6,,,,,,,,,,,,
Elephant,2016,,,917,,,,,,,,,,,,,
Elephant,2017,,,858,,,,,,,,,,,,,
Elephant,2018,,,851,,,,,,,,,,,,,
Elephant,2019,,,864,,,,,,,,,,,,,
Elephant,2020,,,858,,,,,,,,,,,,,
Elephant,2021,,,928,,,,,,,,,,,,,
Elephant,2022,25,6,911,2.7,,,,,,,,,,,,
Elephant,2023,,,974,,,,,,,,,,,,,
Elephant,2024,6,2,1060,0.6,,,,,,,,,,,,
Gemsbok,2003,18,2,,,,,,,,,,,,,,
Gemsbok,2004,34,1,,,,,,,,,,,,,,
Gemsbok,2005,5,4,,,,,,,,,,,,,,
Gemsbok,2006,14,4,,,,,,,,,,,,,,
Gemsbok,2007,76,14,,,,,,,,,,,,,,
Gemsbok,2008,3,3,,,,,,,,,,,,,,
Gemsbok,2009,84,17,204,41.1,,,,,,,,,,,,
Gemsbok,2010,91,29,852,10.7,,,,,,,,,,,,
Gemsbok,2011,68,22,1019,6.7,,,,,,,,,,,,
Gemsbok,2012,209,36,1070,19.5,,,,,,,,,,,,
Gemsbok,2013,247,38,900,27.4,,,,,,,,,,,,
Gemsbok,2014,160,35,896,17.8,,,,,,,,,,,,
