ID_Location,Name,SpeciesName,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,,,,,,,,,
19,Uukwaluudhi,Giraffe,2018,43,9,44,21,92,,,,,,,,,
19,Uukwaluudhi,Giraffe,2019,7,3,7,2,26,,,,,,,,,
19,Uukwaluudhi,Giraffe,2020,24,4,24,6,91,,,,,,,,,
19,Uukwaluudhi,Giraffe,2021,18,3,19,6,55,,,,,,,,,
19,Uukwaluudhi,Giraffe,2022,21,6,22,8,60,,,,,,,,,
19,Uukwaluudhi,Giraffe,2023,14,5,23,6,93,,,,,,,,,
19,Uukwaluudhi,Giraffe,2024,19,9,25,8,78,,,,,,,,,
19,Uukwaluudhi,Hartebeest,2011,264,22,256,,,,,,,,,,,
19,Uukwaluudhi,Hartebeest,2012,93,15,40,,,,,,,,,,,
19,Uukwaluudhi,Hartebeest,2013,213,19,239,96,593,,,,,,,,,
19,Uukwaluudhi,Hartebeest,2014,207,12,204,84,494,,,,,,,,,
19,Uukwaluudhi,Hartebeest,2015,131,19,120,50,290,,,,,,,,,
19,Uukwaluudhi,Hartebeest,2016,85,19,110,47,265,,,,,,,,,
19,Uukwaluudhi,Hartebeest,2022,23,4,52,22,126,,,,,,,,,
19,Uukwaluudhi,Hartmann's Zebra,2023,76,12,188,92,386,,,,,,,,,
19,Uukwaluudhi,Kudu,2017,16,2,20,16,80,,,,,,,,,
19,Uukwaluudhi,Kudu,2018,8,2,20,5,77,,,,,,,,,
19,Uukwaluudhi,Kudu,2020,6,2,20,5,70,,,,,,,,,
19,Uukwaluudhi,Springbok,2011,527,67,854,,,,,,,,,,,
19,Uukwaluudhi,Springbok,2012,342,36,336,,,,,,,,,,,
19,Uukwaluudhi,Springbok,2013,501,35,511,227,1153,,,,,,,,,
19,Uukwaluudhi,Springbok,2014,555,52,683,351,1330,,,,,,,,,
19,Uukwaluudhi,Springbok,2015,500,72,690,330,1450,,,,,,,,,
19,Uukwaluudhi,Springbok,2016,432,72,570,317,1003,,,,,,,,,
19,Uukwaluudhi,Springbok,2017,370,43,470,240,914,,,,,,,,,
19,Uukwaluudhi,Springbok,2018,840,81,669,387,1155,,,,,,,,,
19,Uukwaluudhi,Springbok,2019,451,44,564,293,1086,,,,,,,,,
