Name,Species,Year,Animals Seen,Transect Length (km),Animals per 100km,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2002,66,68,96.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2003,170,68,248.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2004,154,67,229.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2005,194,67,289.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2006,52,70,74.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2007,51,60,85,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2008,65,60,108.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2009,50,60,83.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2010,94,67,140.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2011,51,73,69.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2012,60,62,96.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2015,34,62,54.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2016,53,62,85.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2017,38,86,44.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2018,62,86,72.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2019,33,96,34.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2020,67,96,69.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2021,93,96,96.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2022,60,88,68.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2023,64,94,68,,,,,,,,,,,,,,,,,,,,
Hobatere,Springbok,2024,26,114,22.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2001,2,73,2.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2002,2,68,2.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2003,1,68,1.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2004,3,67,4.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2005,3,67,4.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2006,1,70,1.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2007,4,60,6.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2011,1,73,1.4,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2012,3,62,4.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2015,2,62,3.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2016,5,62,8.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2017,1,86,1.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2018,1,86,1.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2019,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2021,2,96,2.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2023,2,94,2.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Steenbok,2024,1,114,0.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2001,3,73,4.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2002,9,68,13.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2003,8,68,11.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2004,1,67,1.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2005,10,67,14.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2006,5,70,7.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2007,1,60,1.7,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2009,2,60,3.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2012,1,62,1.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2015,4,62,6.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2016,1,62,1.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2017,3,86,3.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2019,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2021,1,96,1,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Warthog,2024,,114,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2001,45,2280,2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2002,44,2345,1.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2003,55,2350,2.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2004,73,2647,2.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2005,253,2517,10.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2006,61,2700,2.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2007,234,2559,9.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2008,105,2650,4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2009,105,2811,3.7,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2010,125,2895,4.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2011,17,2814,0.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2012,136,2758,4.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2013,272,3107,8.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2014,123,3303,3.7,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2015,235,3885,6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2016,338,3436,9.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2017,132,3349,3.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2018,114,3286,3.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2019,292,3247,9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2020,113,3247,3.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2021,27,3247,0.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2022,78,3276,2.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2023,144,3234,4.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Baboon,2024,183,3540,5.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2001,2,2280,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2002,1,2345,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2003,7,2350,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2004,2,2647,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2005,10,2517,0.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2006,1,2700,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2007,1,2559,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2008,4,2650,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2009,3,2811,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2010,1,2895,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2011,,2814,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2012,3,2758,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2013,2,3107,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2014,1,3303,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2015,,3885,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2016,,3436,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2017,3,3349,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2018,1,3286,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2019,2,3247,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2020,5,3247,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2021,,3247,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2022,1,3276,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2023,1,3234,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Cheetah,2024,2,3540,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2001,4,2280,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2002,1,2345,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2003,2,2350,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2004,1,2647,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2005,,2517,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2006,,2700,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2007,6,2559,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2008,,2650,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2009,,2811,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2010,5,2895,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2011,4,2814,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2012,1,2758,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2013,3,3107,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2014,6,3303,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2015,3,3885,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2016,3,3436,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2017,,3349,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2018,2,3286,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2019,6,3247,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2020,1,3247,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2021,3,3247,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2022,2,3276,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2023,2,3234,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Duiker,2024,3,3540,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2001,11,2280,0.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2002,,2345,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2003,,2350,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2004,,2647,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2005,,2517,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2006,,2700,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2007,36,2559,1.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2008,5,2650,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2009,30,2811,1.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2010,,2895,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2011,13,2814,0.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2012,2,2758,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2013,,3107,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2014,2,3303,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2015,,3885,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2016,16,3436,0.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2017,5,3349,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2018,9,3286,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2019,1,3247,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2020,1,3247,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2021,,3247,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2022,,3276,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2023,,3234,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Eland,2024,,3540,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2001,16,2280,0.7,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2002,10,2345,0.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2003,24,2350,1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2004,5,2647,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2005,31,2517,1.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2006,1,2700,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2007,4,2559,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2008,8,2650,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2009,20,2811,0.7,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2010,10,2895,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2011,1,2814,0,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2012,9,2758,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2013,8,3107,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2014,4,3303,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2015,12,3885,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2016,14,3436,0.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2017,18,3349,0.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2018,5,3286,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2019,31,3247,1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2020,5,3247,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2021,16,3247,0.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2022,4,3276,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2023,27,3234,0.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Elephant,2024,23,3540,0.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2001,692,2280,30.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2002,975,2345,41.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2003,2027,2350,86.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2004,1348,2647,50.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2005,1783,2517,70.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2006,1508,2700,55.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2007,2649,2559,103.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2008,1337,2650,50.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2009,1580,2811,56.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2010,1493,2895,51.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2011,1257,2814,44.7,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2012,1911,2758,69.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2013,1401,3107,45.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2014,1101,3303,33.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2015,575,3885,14.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2016,563,3436,16.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2017,586,3349,17.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2018,541,3286,16.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2019,491,3247,15.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2020,286,3247,8.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2021,53,3247,1.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2022,195,3276,6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2023,108,3234,3.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Gemsbok,2024,71,3540,2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2001,64,2280,2.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2002,89,2345,3.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2003,75,2350,3.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2004,111,2647,4.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2005,56,2517,2.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2006,140,2700,5.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2007,99,2559,3.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2008,85,2650,3.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2009,86,2811,3.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2010,163,2895,5.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2011,182,2814,6.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2012,252,2758,9.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2013,186,3107,6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2014,152,3303,4.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2015,178,3885,4.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2016,256,3436,7.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2017,209,3349,6.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2018,218,3286,6.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2019,337,3247,10.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2020,205,3247,6.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2021,166,3247,5.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2022,149,3276,4.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2023,203,3234,6.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Giraffe,2024,219,3540,6.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2001,,2280,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2002,,2345,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2003,,2350,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2004,,2647,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2005,,2517,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2006,,2700,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2007,,2559,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2008,,2650,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2009,,2811,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2010,,2895,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2011,,2814,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2012,,2758,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2013,,3107,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2014,,3303,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2015,,3885,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2016,,3436,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2017,,3349,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2018,,3286,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2019,,3247,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2020,,3247,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2021,,3247,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2022,,3276,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2023,,3234,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartebeest,2024,,3540,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2001,283,2280,12.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2002,189,2345,8.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2003,302,2350,12.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2004,367,2647,13.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2005,568,2517,22.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2006,576,2700,21.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2007,558,2559,21.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2008,585,2650,22.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2009,950,2811,33.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2010,1271,2895,43.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2011,970,2814,34.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2012,748,2758,27.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2013,619,3107,19.9,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2014,1028,3303,31.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2015,256,3885,6.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2016,1059,3436,30.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2017,1177,3349,35.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2018,1529,3286,46.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2019,382,3247,11.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2020,596,3247,18.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2021,377,3247,11.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2022,658,3276,20.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2023,188,3234,5.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,Hartmann's Zebra,2024,364,3540,10.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2001,,2280,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2002,,2345,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2003,,2350,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2004,15,2647,0.6,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2005,,2517,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2006,,2700,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2007,,2559,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2008,,2650,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2009,,2811,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2010,5,2895,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2011,7,2814,0.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2012,,2758,,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2013,3,3107,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2014,12,3303,0.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2015,26,3885,0.7,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2016,14,3436,0.4,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2017,4,3349,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2018,25,3286,0.8,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2019,9,3247,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2020,38,3247,1.2,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2021,10,3247,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2022,11,3276,0.3,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2023,3,3234,0.1,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Impala, Black-faced",2024,16,3540,0.5,,,,,,,,,,,,,,,,,,,,
North of Vet Fence,"Jackal, Black-backed",2001,9,2280,0.4,,,,,,,,,,,,,,,,,,,,
