Name,Species,Year,Animals Seen,Transect Length (km),Animals per 100km,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Duiker,2024,,114,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2001,52,73,71.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2002,19,68,27.8,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2003,,68,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2004,12,67,17.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2005,10,67,14.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2006,12,70,17.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2007,9,60,15,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2008,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2009,,60,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2010,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2011,,73,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2012,,62,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2015,45,62,72.6,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2016,5,62,8.1,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2017,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2018,,86,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2019,13,96,13.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2020,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2021,,96,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2022,,88,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2023,,94,,,,,,,,,,,,,,,,,,,,,
Hobatere,Eland,2024,,114,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2001,6,73,8.2,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2002,2,68,2.9,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2003,1,68,1.5,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2004,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2005,,67,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2006,,70,,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2007,2,60,3.3,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2008,3,60,5,,,,,,,,,,,,,,,,,,,,
Hobatere,Elephant,2009,,60,,,,,,,,,,,,,,,,,,,,,
