Name,Species,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,Total_Area,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2023,2380,54,37103,24717,55696,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Springbok,2024,3117,307,51406,36194,73009,29481,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2016,101,86,5490,3720,8080,29080,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2017,61,49,3290,2080,5220,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2018,35,33,1980,1220,3210,28233,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2019,68,57,3920,2500,6150,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2020,80,66,5067,3060,8839,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2021,44,36,2205,1329,3659,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2022,24,21,1011,519,1968,28457,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2023,79,21,5179,3006,8923,28378,,,,,,,,,,,,,,,,,
North of Vet Fence,Steenbok,2024,68,51,5769,3604,9237,29481,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2016,675,90,5080,3510,7350,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2017,126,36,920,470,1800,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2018,171,57,1530,920,2545,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2019,98,41,865,530,1410,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2020,130,44,998,543,1832,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2021,61,18,480,214,1078,7190,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2022,51,16,306,108,871,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2023,16,5,158,59,423,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Gemsbok,2024,47,11,539,205,1418,6003,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2016,602,52,2790,1420,5470,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2017,279,49,2100,1030,4300,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2018,266,53,2345,1380,3990,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2019,107,29,1010,280,3620,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2020,146,31,1320,504,3459,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2021,237,33,1832,534,6286,7190,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2022,64,13,471,108,2063,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2023,62,1,73,23,230,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Hartmann's Zebra,2024,147,20,1087,338,3492,6003,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2016,78,10,510,220,1210,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2017,15,6,290,90,910,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2018,13,7,200,60,680,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2019,4,3,180,55,570,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2020,7,3,295,71,1221,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2021,1,1,50,8,307,7190,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2022,2,1,40,6,268,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2023,2,1,35,6,220,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Kudu,2024,1,1,24,4,154,6003,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2016,42,10,430,190,970,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2017,37,7,235,70,765,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2018,24,8,250,140,460,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2019,76,9,380,150,980,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2020,41,11,421,148,1197,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2021,11,3,117,39,353,7190,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2022,25,7,189,68,527,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2023,23,4,269,102,711,5858,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Ostrich,2024,17,6,219,85,563,6003,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2016,3487,164,33010,19150,56900,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2017,515,51,7820,3025,20217,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2018,859,105,14010,6590,29790,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2019,545,70,7650,3470,16900,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2020,1002,86,9197,4470,18919,6524,,,,,,,,,,,,,,,,,
Palmwag and Etendeka,Springbok,2021,464,39,5851,1843,18570,7190,,,,,,,,,,,,,,,,,
