Year,Cons,Gemsbok,Giraffe,Hartmann's Zebra,Kudu,Ostrich,Springbok,Steenbok,,,,,,,,,,,,,,,,,
2008,//Huab,177,,30,332,12,146,273,,,,,,,,,,,,,,,,,
2008,≠Gaingu,,,,,164,5932,1622,,,,,,,,,,,,,,,,,
2008,≠Khoadi-//Hôas,530,23,176,654,141,1564,492,,,,,,,,,,,,,,,,,
2008,Anabeb,352,4,763,26,41,2553,41,,,,,,,,,,,,,,,,,
2008,Doro !nawas,2304,20,570,50,782,5679,320,,,,,,,,,,,,,,,,,
2008,Ehi-Rovipuka,609,128,57,39,47,965,431,,,,,,,,,,,,,,,,,
2008,Etendeka,2258,181,1172,107,11,6408,43,,,,,,,,,,,,,,,,,
2008,Hobatere,414,143,346,31,,569,,,,,,,,,,,,,,,,,,
2008,Marienfluss,1485,8,590,,501,9072,,,,,,,,,,,,,,,,,,
2008,Ohungu,,,,14,17,309,333,,,,,,,,,,,,,,,,,
2008,Okangundumba,,,,,17,6492,136,,,,,,,,,,,,,,,,,
2008,Okondjombo,1490,,680,,110,157,,,,,,,,,,,,,,,,,,
2008,Omatendeka,402,16,114,,66,10142,48,,,,,,,,,,,,,,,,,
2008,Orupembe,4362,,836,22,1326,24172,203,,,,,,,,,,,,,,,,,
2008,Orupupa,,,,,-4,-45,-32,,,,,,,,,,,,,,,,,
2008,Otjambangu,,,11,4,32,923,,,,,,,,,,,,,,,,,,
2008,Otjimboyo,,,,71,,305,28,,,,,,,,,,,,,,,,,
2008,Otuzemba,,,,,-1,,-5,,,,,,,,,,,,,,,,,
2008,Ozondundu,9,,,21,,45,198,,,,,,,,,,,,,,,,,
2008,Palmwag,2742,221,4343,14,539,7976,127,,,,,,,,,,,,,,,,,
2008,Puros,5383,196,490,,744,14638,,,,,,,,,,,,,,,,,,
2008,Sanitatas,1997,67,280,,344,14105,,,,,,,,,,,,,,,,,,
2008,Sesfontein,2376,87,284,,212,4516,109,,,,,,,,,,,,,,,,,
2008,Sorris Sorris,34,,,,424,1822,103,,,,,,,,,,,,,,,,,
2008,Torra,3267,46,1477,632,396,10508,363,,,,,,,,,,,,,,,,,
2008,Tsiseb,307,,289,264,904,25490,505,,,,,,,,,,,,,,,,,
2009,//Huab,22,,,445,,100,404,,,,,,,,,,,,,,,,,
2009,≠Gaingu,67,,,,203,5012,1259,,,,,,,,,,,,,,,,,
2009,≠Khoadi-//Hôas,188,174,15,446,254,990,504,,,,,,,,,,,,,,,,,
2009,Anabeb,171,23,1337,50,36,2384,,,,,,,,,,,,,,,,,,
2009,Doro !nawas,726,,428,,1639,5180,85,,,,,,,,,,,,,,,,,
2009,Ehi-Rovipuka,127,94,63,334,193,786,659,,,,,,,,,,,,,,,,,
2009,Etendeka,1970,252,3382,346,6,8469,,,,,,,,,,,,,,,,,,
2009,Hobatere,561,45,540,27,,447,,,,,,,,,,,,,,,,,,
2009,Marienfluss,1706,,639,,1071,13622,94,,,,,,,,,,,,,,,,,
2009,Ohungu,18,,,22,,110,183,,,,,,,,,,,,,,,,,
2009,Okangundumba,11,,,192,156,3567,496,,,,,,,,,,,,,,,,,
2009,Okondjombo,133,,426,,243,2156,,,,,,,,,,,,,,,,,,
2009,Omatendeka,89,8,150,,87,578,48,,,,,,,,,,,,,,,,,
2009,Orupembe,1841,111,328,,2334,13047,479,,,,,,,,,,,,,,,,,
2009,Orupupa,,,,-5,-19,-102,-32,,,,,,,,,,,,,,,,,
2009,Otjambangu,,,,,44,1031,61,,,,,,,,,,,,,,,,,
2009,Otjimboyo,,,,,16,698,413,,,,,,,,,,,,,,,,,
2009,Otuzemba,,,,,0,,-8,,,,,,,,,,,,,,,,,
2009,Ozondundu,95,14,,210,29,60,167,,,,,,,,,,,,,,,,,
2009,Palmwag,4083,184,6576,289,1377,29120,280,,,,,,,,,,,,,,,,,
2009,Puros,6982,198,1902,34,1854,16488,93,,,,,,,,,,,,,,,,,
2009,Sanitatas,1984,52,1578,,234,2228,,,,,,,,,,,,,,,,,,
2009,Sesfontein,2863,33,237,,574,2116,343,,,,,,,,,,,,,,,,,
2009,Sorris Sorris,,10,,21,938,13272,,,,,,,,,,,,,,,,,,
2009,Torra,1231,45,1417,676,78,5593,109,,,,,,,,,,,,,,,,,
2009,Tsiseb,262,,295,134,1718,24648,1974,,,,,,,,,,,,,,,,,
2010,//Huab,,,160,125,25,169,326,,,,,,,,,,,,,,,,,
2010,≠Gaingu,,,,,,27342,524,,,,,,,,,,,,,,,,,
2010,≠Khoadi-//Hôas,445,72,116,730,69,298,353,,,,,,,,,,,,,,,,,
2010,Anabeb,153,11,1550,55,36,2713,46,,,,,,,,,,,,,,,,,
2010,Doro !nawas,945,65,1179,13,962,13331,288,,,,,,,,,,,,,,,,,
2010,Ehi-Rovipuka,444,428,581,101,147,757,338,,,,,,,,,,,,,,,,,
2010,Etendeka,1602,396,1806,234,,5443,182,,,,,,,,,,,,,,,,,
2010,Hobatere,456,4,258,7,,719,,,,,,,,,,,,,,,,,,
2010,Marienfluss,4006,,846,,706,19733,826,,,,,,,,,,,,,,,,,
2010,Ohungu,,,,10,137,110,564,,,,,,,,,,,,,,,,,
2010,Okangundumba,,,5,168,234,3206,646,,,,,,,,,,,,,,,,,
2010,Okondjombo,97,8,1867,,119,13715,95,,,,,,,,,,,,,,,,,
2010,Omatendeka,231,69,96,69,151,5174,51,,,,,,,,,,,,,,,,,
2010,Orupembe,4721,95,668,,941,8913,848,,,,,,,,,,,,,,,,,
2010,Orupupa,,,,-1,0,-122,-20,,,,,,,,,,,,,,,,,
2010,Otjambangu,,,,13,45,1971,162,,,,,,,,,,,,,,,,,
2010,Otjimboyo,,,,13,,5195,492,,,,,,,,,,,,,,,,,
2010,Otuzemba,,,,,-1,,-9,,,,,,,,,,,,,,,,,
2010,Ozondundu,,,,78,49,23,,,,,,,,,,,,,,,,,,
2010,Palmwag,3586,431,4155,155,356,23218,915,,,,,,,,,,,,,,,,,
2010,Puros,2491,198,1035,,952,8388,102,,,,,,,,,,,,,,,,,
2010,Sanitatas,1638,52,1150,,835,10188,262,,,,,,,,,,,,,,,,,
2010,Sesfontein,1644,46,96,9,140,2499,184,,,,,,,,,,,,,,,,,
2010,Sorris Sorris,168,60,,,1283,7193,1252,,,,,,,,,,,,,,,,,
2010,Torra,2025,244,2903,670,236,13057,936,,,,,,,,,,,,,,,,,
2010,Tsiseb,98,,189,,1407,16509,1437,,,,,,,,,,,,,,,,,
2011,//Audi,,,,,,,40,,,,,,,,,,,,,,,,,
2011,//Huab,44,,57,129,25,16,568,,,,,,,,,,,,,,,,,
2011,≠Gaingu,71,,,,,18734,822,,,,,,,,,,,,,,,,,
2011,≠Khoadi-//Hôas,295,66,67,235,54,1088,235,,,,,,,,,,,,,,,,,
2011,Anabeb,206,17,2467,7,246,2971,,,,,,,,,,,,,,,,,,
2011,Doro !nawas,903,103,888,,914,8392,,,,,,,,,,,,,,,,,,
2011,Ehi-Rovipuka,153,336,,66,72,11,566,,,,,,,,,,,,,,,,,
2011,Etendeka,464,415,2725,399,18,1740,125,,,,,,,,,,,,,,,,,
2011,Hobatere,235,41,345,,,362,41,,,,,,,,,,,,,,,,,
2011,Marienfluss,2030,,281,,564,4984,,,,,,,,,,,,,,,,,,
2011,Ohungu,,,,98,,33,441,,,,,,,,,,,,,,,,,
2011,Okangundumba,,,,,242,208,1129,,,,,,,,,,,,,,,,,
2011,Okondjombo,541,43,1759,30,405,7616,,,,,,,,,,,,,,,,,,
2011,Omatendeka,98,72,177,68,243,337,146,,,,,,,,,,,,,,,,,
2011,Orupembe,5936,13,860,,643,17822,158,,,,,,,,,,,,,,,,,
2011,Orupupa,,,0,0,-17,-71,-20,,,,,,,,,,,,,,,,,
2011,Otjambangu,,,,,33,1788,103,,,,,,,,,,,,,,,,,
2011,Otjimboyo,6,,,,,29,,,,,,,,,,,,,,,,,,
2011,Otuzemba,,,,,0,,-2,,,,,,,,,,,,,,,,,
2011,Ozondundu,,,,37,,,,,,,,,,,,,,,,,,,,
2011,Palmwag,5928,191,15148,41,343,25582,155,,,,,,,,,,,,,,,,,
2011,Puros,1663,440,342,,727,10716,,,,,,,,,,,,,,,,,,
2011,Sanitatas,1165,19,1291,,44,641,,,,,,,,,,,,,,,,,,
2011,Sesfontein,2428,144,359,,916,9328,,,,,,,,,,,,,,,,,,
2011,Sorris Sorris,171,,,75,788,3446,109,,,,,,,,,,,,,,,,,
2011,Torra,1875,133,2957,730,267,9611,187,,,,,,,,,,,,,,,,,
2011,Tsiseb,123,,297,,2515,34543,573,,,,,,,,,,,,,,,,,
2012,//Audi,,,,78,,,,,,,,,,,,,,,,,,,,
2012,//Huab,184,,,593,75,575,634,,,,,,,,,,,,,,,,,
2012,≠Gaingu,,,,,435,25114,4396,,,,,,,,,,,,,,,,,
2012,≠Khoadi-//Hôas,373,126,,1319,150,2111,1330,,,,,,,,,,,,,,,,,
2012,Anabeb,429,30,,111,64,4346,76,,,,,,,,,,,,,,,,,
2012,Doro !nawas,1535,46,,40,598,3358,351,,,,,,,,,,,,,,,,,
2012,Ehi-Rovipuka,703,540,,221,127,2800,810,,,,,,,,,,,,,,,,,
2012,Etendeka,644,64,,97,16,4598,31,,,,,,,,,,,,,,,,,
2012,Hobatere,716,36,,31,,564,138,,,,,,,,,,,,,,,,,
2012,Marienfluss,7825,,,,375,10674,177,,,,,,,,,,,,,,,,,
2012,Ohungu,,,,,94,9420,860,,,,,,,,,,,,,,,,,
2012,Okangundumba,,,,135,258,12158,932,,,,,,,,,,,,,,,,,
2012,Okondjombo,1165,137,,45,674,6578,593,,,,,,,,,,,,,,,,,
2012,Omatendeka,232,52,,,237,5282,414,,,,,,,,,,,,,,,,,
2012,Orupembe,9294,193,,,689,7216,584,,,,,,,,,,,,,,,,,
