ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,
1,Nyae Nyae,Steenbok,2020,95,84,1985,4.8,,,,,,
1,Nyae Nyae,Steenbok,2021,114,98,1770,6.4,,,,,,
1,Nyae Nyae,Steenbok,2022,96,90,2066,4.6,,,,,,
1,Nyae Nyae,Steenbok,2023,109,100,2055,5.3,,,,,,
1,Nyae Nyae,Steenbok,2024,104,99,2004,5.2,,,,,,
1,Nyae Nyae,Vervet Monkey,2017,,,1431,,,,,,,
1,Nyae Nyae,Vervet Monkey,2018,,,1906,,,,,,,
1,Nyae Nyae,Vervet Monkey,2019,,,1989,,,,,,,
1,Nyae Nyae,Vervet Monkey,2020,,,1985,,,,,,,
1,Nyae Nyae,Vervet Monkey,2021,,,1770,,,,,,,
1,Nyae Nyae,Vervet Monkey,2022,,,2066,,,,,,,
1,Nyae Nyae,Vervet Monkey,2023,,,2055,,,,,,,
1,Nyae Nyae,Vervet Monkey,2024,,,2004,,,,,,,
1,Nyae Nyae,Warthog,2017,15,7,1431,1,,,,,,
1,Nyae Nyae,Warthog,2018,37,15,1906,1.9,,,,,,
1,Nyae Nyae,Warthog,2019,38,12,1989,1.9,,,,,,
1,Nyae Nyae,Warthog,2020,26,11,1985,1.3,,,,,,
1,Nyae Nyae,Warthog,2021,43,18,1770,2.4,,,,,,
1,Nyae Nyae,Warthog,2022,60,27,2066,2.9,,,,,,
1,Nyae Nyae,Warthog,2023,41,17,2055,2,,,,,,
1,Nyae Nyae,Warthog,2024,46,18,2004,2.3,,,,,,
1,Nyae Nyae,Wild dog,2017,5,2,1431,0.3,,,,,,
1,Nyae Nyae,Wild dog,2018,14,2,1906,0.7,,,,,,
1,Nyae Nyae,Wild dog,2019,,,1989,,,,,,,
1,Nyae Nyae,Wild dog,2020,1,1,1985,0.1,,,,,,
1,Nyae Nyae,Wild dog,2021,2,1,1770,0.1,,,,,,
1,Nyae Nyae,Wild dog,2022,3,1,2066,0.1,,,,,,
1,Nyae Nyae,Wild dog,2023,,,2055,,,,,,,
1,Nyae Nyae,Wild dog,2024,25,3,2004,1.2,,,,,,
1,Nyae Nyae,Wildebeest,2017,348,30,1431,24.3,,,,,,
1,Nyae Nyae,Wildebeest,2018,707,56,1906,37.1,,,,,,
1,Nyae Nyae,Wildebeest,2019,1065,56,1989,53.6,,,,,,
1,Nyae Nyae,Wildebeest,2020,582,48,1985,29.3,,,,,,
1,Nyae Nyae,Wildebeest,2021,423,44,1770,23.9,,,,,,
1,Nyae Nyae,Wildebeest,2022,833,77,2066,40.3,,,,,,
1,Nyae Nyae,Wildebeest,2023,1640,78,2055,79.8,,,,,,
1,Nyae Nyae,Wildebeest,2024,1584,62,2004,79,,,,,,
37,Muduva Nyangana,Aardwolf,2013,,,94,,,,,,,
37,Muduva Nyangana,Aardwolf,2014,,,114,,,,,,,
37,Muduva Nyangana,Aardwolf,2015,,,112,,,,,,,
37,Muduva Nyangana,Aardwolf,2016,,,115,,,,,,,
37,Muduva Nyangana,Aardwolf,2017,,,113,,,,,,,
37,Muduva Nyangana,Aardwolf,2018,,,106,,,,,,,
37,Muduva Nyangana,Aardwolf,2019,,,116,,,,,,,
37,Muduva Nyangana,Aardwolf,2020,,,152,,,,,,,
37,Muduva Nyangana,Aardwolf,2021,,,111,,,,,,,
37,Muduva Nyangana,Aardwolf,2022,,,106,,,,,,,
37,Muduva Nyangana,Aardwolf,2023,,,116,,,,,,,
37,Muduva Nyangana,Aardwolf,2024,,,122,,,,,,,
37,Muduva Nyangana,African Wildcat,2013,,,94,,,,,,,
37,Muduva Nyangana,African Wildcat,2014,,,114,,,,,,,
37,Muduva Nyangana,African Wildcat,2015,,,112,,,,,,,
37,Muduva Nyangana,African Wildcat,2016,,,115,,,,,,,
37,Muduva Nyangana,African Wildcat,2017,,,113,,,,,,,
37,Muduva Nyangana,African Wildcat,2018,,,106,,,,,,,
37,Muduva Nyangana,African Wildcat,2019,,,116,,,,,,,
37,Muduva Nyangana,African Wildcat,2020,,,152,,,,,,,
37,Muduva Nyangana,African Wildcat,2021,,,111,,,,,,,
37,Muduva Nyangana,African Wildcat,2022,,,106,,,,,,,
37,Muduva Nyangana,African Wildcat,2023,,,116,,,,,,,
37,Muduva Nyangana,African Wildcat,2024,,,122,,,,,,,
37,Muduva Nyangana,Baboon,2013,,,94,,,,,,,
37,Muduva Nyangana,Baboon,2014,,,114,,,,,,,
37,Muduva Nyangana,Baboon,2015,,,112,,,,,,,
37,Muduva Nyangana,Baboon,2016,,,115,,,,,,,
37,Muduva Nyangana,Baboon,2017,,,113,,,,,,,
37,Muduva Nyangana,Baboon,2018,,,106,,,,,,,
37,Muduva Nyangana,Baboon,2019,,,116,,,,,,,
37,Muduva Nyangana,Baboon,2020,,,152,,,,,,,
37,Muduva Nyangana,Baboon,2021,10,1,111,9,,,,,,
37,Muduva Nyangana,Baboon,2022,,,106,,,,,,,
37,Muduva Nyangana,Baboon,2023,,,116,,,,,,,
37,Muduva Nyangana,Baboon,2024,,,122,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2013,,,94,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2014,,,114,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2015,,,112,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2016,,,115,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2017,,,113,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2018,,,106,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2019,,,116,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2020,,,152,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2021,,,111,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2022,,,106,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2023,,,116,,,,,,,
37,Muduva Nyangana,Bat-eared Fox,2024,,,122,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2013,,,94,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2014,,,114,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2015,,,112,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2016,,,115,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2017,,,113,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2018,,,106,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2019,,,116,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2020,,,152,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2021,,,111,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2022,,,106,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2023,,,116,,,,,,,
37,Muduva Nyangana,Burchell's Zebra,2024,,,122,,,,,,,
37,Muduva Nyangana,Bushpig,2013,,,94,,,,,,,
37,Muduva Nyangana,Bushpig,2014,,,114,,,,,,,
37,Muduva Nyangana,Bushpig,2015,2,1,112,1.8,,,,,,
37,Muduva Nyangana,Bushpig,2016,,,115,,,,,,,
37,Muduva Nyangana,Bushpig,2017,,,113,,,,,,,
37,Muduva Nyangana,Bushpig,2018,,,106,,,,,,,
37,Muduva Nyangana,Bushpig,2019,,,116,,,,,,,
37,Muduva Nyangana,Bushpig,2020,,,152,,,,,,,
37,Muduva Nyangana,Bushpig,2021,,,111,,,,,,,
37,Muduva Nyangana,Bushpig,2022,3,1,106,2.8,,,,,,
37,Muduva Nyangana,Bushpig,2023,,,116,,,,,,,
37,Muduva Nyangana,Bushpig,2024,,,122,,,,,,,
37,Muduva Nyangana,Caracal,2013,,,94,,,,,,,
37,Muduva Nyangana,Caracal,2014,,,114,,,,,,,
37,Muduva Nyangana,Caracal,2015,,,112,,,,,,,
37,Muduva Nyangana,Caracal,2016,,,115,,,,,,,
37,Muduva Nyangana,Caracal,2017,,,113,,,,,,,
37,Muduva Nyangana,Caracal,2018,,,106,,,,,,,
37,Muduva Nyangana,Caracal,2019,,,116,,,,,,,
37,Muduva Nyangana,Caracal,2020,,,152,,,,,,,
37,Muduva Nyangana,Caracal,2021,,,111,,,,,,,
37,Muduva Nyangana,Caracal,2022,,,106,,,,,,,
37,Muduva Nyangana,Caracal,2023,,,116,,,,,,,
37,Muduva Nyangana,Caracal,2024,,,122,,,,,,,
37,Muduva Nyangana,Cheetah,2013,,,94,,,,,,,
37,Muduva Nyangana,Cheetah,2014,,,114,,,,,,,
37,Muduva Nyangana,Cheetah,2015,,,112,,,,,,,
37,Muduva Nyangana,Cheetah,2016,,,115,,,,,,,
37,Muduva Nyangana,Cheetah,2017,,,113,,,,,,,
37,Muduva Nyangana,Cheetah,2018,,,106,,,,,,,
37,Muduva Nyangana,Cheetah,2019,,,116,,,,,,,
37,Muduva Nyangana,Cheetah,2020,,,152,,,,,,,
37,Muduva Nyangana,Cheetah,2021,,,111,,,,,,,
37,Muduva Nyangana,Cheetah,2022,,,106,,,,,,,
37,Muduva Nyangana,Cheetah,2023,,,116,,,,,,,
37,Muduva Nyangana,Cheetah,2024,,,122,,,,,,,
37,Muduva Nyangana,Duiker,2013,9,9,94,9.6,,,,,,
37,Muduva Nyangana,Duiker,2014,12,11,114,10.5,,,,,,
37,Muduva Nyangana,Duiker,2015,20,20,112,17.9,,,,,,
37,Muduva Nyangana,Duiker,2016,15,14,115,13,,,,,,
37,Muduva Nyangana,Duiker,2017,18,15,113,15.9,,,,,,
37,Muduva Nyangana,Duiker,2018,11,11,106,10.4,,,,,,
37,Muduva Nyangana,Duiker,2019,27,22,116,23.3,,,,,,
37,Muduva Nyangana,Duiker,2020,13,13,152,8.6,,,,,,
37,Muduva Nyangana,Duiker,2021,7,7,111,6.3,,,,,,
37,Muduva Nyangana,Duiker,2022,9,8,106,8.5,,,,,,
37,Muduva Nyangana,Duiker,2023,19,19,116,16.4,,,,,,
37,Muduva Nyangana,Duiker,2024,21,18,122,17.2,,,,,,
37,Muduva Nyangana,Eland,2013,18,2,94,19.2,,,,,,
37,Muduva Nyangana,Eland,2014,,,114,,,,,,,
37,Muduva Nyangana,Eland,2015,16,7,112,14.3,,,,,,
37,Muduva Nyangana,Eland,2016,22,4,115,19.1,,,,,,
37,Muduva Nyangana,Eland,2017,10,3,113,8.8,,,,,,
37,Muduva Nyangana,Eland,2018,26,3,106,24.5,,,,,,
37,Muduva Nyangana,Eland,2019,198,15,116,170.9,,,,,,
37,Muduva Nyangana,Eland,2020,22,6,152,14.5,,,,,,
37,Muduva Nyangana,Eland,2021,69,8,111,62.2,,,,,,
37,Muduva Nyangana,Eland,2022,49,7,106,46.2,,,,,,
37,Muduva Nyangana,Eland,2023,67,10,116,57.8,,,,,,
37,Muduva Nyangana,Eland,2024,77,12,122,63.2,,,,,,
37,Muduva Nyangana,Elephant,2013,,,94,,,,,,,
37,Muduva Nyangana,Elephant,2014,,,114,,,,,,,
37,Muduva Nyangana,Elephant,2015,1,1,112,0.9,,,,,,
37,Muduva Nyangana,Elephant,2016,38,4,115,33,,,,,,
37,Muduva Nyangana,Elephant,2017,36,7,113,31.9,,,,,,
37,Muduva Nyangana,Elephant,2018,27,3,106,25.5,,,,,,
37,Muduva Nyangana,Elephant,2019,,,116,,,,,,,
37,Muduva Nyangana,Elephant,2020,8,3,152,5.3,,,,,,
